,id,name,explicit,uri,preview_url,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,filename
0,7lR4CRvHJ6IgX3oHbGeqlQ,Hilux,False,spotify:track:7lR4CRvHJ6IgX3oHbGeqlQ,https://p.scdn.co/mp3-preview/0d932a6ceb45179cd57b7a07bea72fd0bac00e34?cid=c7dbbb6a42314093bc11a2d6f68766ee,João Boiadeiro,0.619,0.96,5,-2.337,1,0.0473,0.303,0.0424,0.067,0.923,180.096,174794,4,./sampled/7lR4CRvHJ6IgX3oHbGeqlQ.mp3
1,35qOGx1CWvCkQFOv4BkVIV,Esquema Preferido - Ao Vivo,False,spotify:track:35qOGx1CWvCkQFOv4BkVIV,https://p.scdn.co/mp3-preview/35b75292343f9fc63f167e23591e9c93d7ae9e6f?cid=c7dbbb6a42314093bc11a2d6f68766ee,Os Barões Da Pisadinha,0.62,0.943,5,-2.171,1,0.0435,0.363,0.0,0.0705,0.968,167.945,201974,4,./sampled/35qOGx1CWvCkQFOv4BkVIV.mp3
2,2vPRrOaM3zvPwrOHoIPjcF,"Ele É Ele, Eu Sou Eu",False,spotify:track:2vPRrOaM3zvPwrOHoIPjcF,https://p.scdn.co/mp3-preview/00f9e6f1c8ccc0f2061a76b2e2972660ca1da78f?cid=c7dbbb6a42314093bc11a2d6f68766ee,Wesley Safadão \ Os Barões Da Pisadinha,0.754,0.761,1,-8.879,0,0.0825,0.198,1.12e-05,0.0698,0.862,163.933,155342,4,./sampled/2vPRrOaM3zvPwrOHoIPjcF.mp3
3,7as7OL7cmgFZDADgVjQZjz,Meia Noite (Ce Tem Meu Whatsapp) - Ao Vivo,False,spotify:track:7as7OL7cmgFZDADgVjQZjz,https://p.scdn.co/mp3-preview/4cdae249b6320a14db1f9e9deb3aa53ee8c65cb0?cid=c7dbbb6a42314093bc11a2d6f68766ee,Os Barões Da Pisadinha,0.658,0.937,0,-2.482,1,0.0476,0.346,0.0,0.0609,0.96,168.034,189115,4,./sampled/7as7OL7cmgFZDADgVjQZjz.mp3
4,4KyqnztwWZB3Kw1bJAEqPS,Sala de Aula,False,spotify:track:4KyqnztwWZB3Kw1bJAEqPS,https://p.scdn.co/mp3-preview/cda32ae4b0ea1a3bcbdf91a9f46de97658535766?cid=c7dbbb6a42314093bc11a2d6f68766ee,João Boiadeiro,0.644,0.924,5,-2.961,1,0.0434,0.346,1.92e-05,0.0535,0.85,173.982,176657,4,./sampled/4KyqnztwWZB3Kw1bJAEqPS.mp3
5,0qHFGFbtymkigrHP4HAxW3,Festa na Roça - Ao Vivo,False,spotify:track:0qHFGFbtymkigrHP4HAxW3,https://p.scdn.co/mp3-preview/c24b3fd16a2c0ab85f59e1c93043608b9dd0e45c?cid=c7dbbb6a42314093bc11a2d6f68766ee,Os Barões Da Pisadinha,0.686,0.952,6,-2.464,0,0.0787,0.603,1.31e-06,0.827,0.938,167.998,148731,4,./sampled/0qHFGFbtymkigrHP4HAxW3.mp3
6,3LPUvP4DGq3j0SqBdKWFiN,Vem Me Amar,False,spotify:track:3LPUvP4DGq3j0SqBdKWFiN,https://p.scdn.co/mp3-preview/b60b803fab3c0e2000fca02912a098bbc918ca45?cid=c7dbbb6a42314093bc11a2d6f68766ee,Zé Vaqueiro \ Vitor Fernandes,0.701,0.745,4,-5.132,1,0.0355,0.334,0.0,0.0454,0.87,156.128,169979,4,./sampled/3LPUvP4DGq3j0SqBdKWFiN.mp3
7,1jyjRONEHBiPO3rcNQSLk8,Roxinho,False,spotify:track:1jyjRONEHBiPO3rcNQSLk8,https://p.scdn.co/mp3-preview/0f12342c325b3f144c5afe832cb6a91013b3f9bb?cid=c7dbbb6a42314093bc11a2d6f68766ee,Vitor Fernandes \ Tarcísio do Acordeon,0.642,0.678,5,-5.299,1,0.0346,0.547,0.000136,0.168,0.887,156.022,205962,4,./sampled/1jyjRONEHBiPO3rcNQSLk8.mp3
8,4f3ZyzSsfLP1MjKriIpScT,Alô,False,spotify:track:4f3ZyzSsfLP1MjKriIpScT,https://p.scdn.co/mp3-preview/6b4aeefa03de57fd5340948e19c0bd4076bc7fd4?cid=c7dbbb6a42314093bc11a2d6f68766ee,João Boiadeiro,0.717,0.908,8,-3.703,1,0.0402,0.214,2.83e-06,0.035,0.96,170.051,146878,4,./sampled/4f3ZyzSsfLP1MjKriIpScT.mp3
9,40lCZjyCTGAaw6yneFq39z,A Pior Parte,False,spotify:track:40lCZjyCTGAaw6yneFq39z,https://p.scdn.co/mp3-preview/66ac0027d1d5cbcce39af880ff971b8a97b5d9a5?cid=c7dbbb6a42314093bc11a2d6f68766ee,Renno \ Tarcísio do Acordeon,0.606,0.855,4,-2.713,0,0.0584,0.269,0.0,0.413,0.764,159.954,152228,4,./sampled/40lCZjyCTGAaw6yneFq39z.mp3
10,2MZQAvsA7aZDssppBLRxYp,Batom de Cereja - Ao Vivo,False,spotify:track:2MZQAvsA7aZDssppBLRxYp,https://p.scdn.co/mp3-preview/ff5949fa4095122de7c8d010da97c691bd3274b8?cid=c7dbbb6a42314093bc11a2d6f68766ee,Israel & Rodolffo,0.606,0.908,6,-6.201,0,0.0565,0.556,0.0,0.19,0.798,171.966,140942,4,./sampled/2MZQAvsA7aZDssppBLRxYp.mp3
